order_id,restaurant_id,restaurant_type,restaurant_size,order_timestamp,for_timestamp,rider_arrival_timestamp,true_kpt_minutes,recorded_kpt_minutes,concurrent_orders,kitchen_load_score,mx_response_latency_sec,rejection_flag,is_peak_hour,is_contaminated,for_rider_delta_seconds,is_rider_influenced,order_hour,order_date,rolling_avg_latency,rolling_rejection_rate,rolling_concurrent,latency_score,concurrent_score,rejection_score,computed_kls
ORD_00002,REST_026,fast_food,medium,2024-06-13 14:09:00,2024-06-13 14:26:48,2024-06-13 14:30:48,16.8,17.8,7,0.55,4.69,0,1,0,-240.0,0,14,2024-06-13,4.69,0.0,4.666666666666667,0.36216216216216224,0.16666666666666669,0.0,0.212
ORD_00006,REST_001,cloud_kitchen,large,2024-06-23 23:07:00,2024-06-23 23:41:30,2024-06-23 23:39:30,33.5,34.5,10,0.5,5.83,0,0,0,120.0,0,23,2024-06-23,5.933333333333334,0.0,8.0,0.4581724581724582,0.2857142857142857,0.0,0.298
ORD_00007,REST_008,fast_food,medium,2024-03-16 13:10:00,2024-03-16 13:29:48,2024-03-16 13:33:48,20.8,19.8,5,0.45,6.41,0,1,0,-240.0,0,13,2024-03-16,4.893333333333333,0.3333333333333333,4.333333333333333,0.3778635778635778,0.15476190476190474,0.3333333333333333,0.28
ORD_00008,REST_041,casual_dining,large,2024-03-17 20:32:00,2024-03-17 21:17:42,2024-03-17 21:20:42,46.7,45.7,16,1.0,6.3,0,1,0,-180.0,0,20,2024-03-17,6.376666666666666,0.0,14.333333333333334,0.4924066924066924,0.511904761904762,0.0,0.402
ORD_00010,REST_037,fast_food,large,2024-01-21 02:46:00,2024-01-21 03:09:54,2024-01-21 03:14:54,23.9,23.9,12,0.6,5.69,0,0,0,-300.0,0,2,2024-01-21,5.323333333333333,0.0,10.0,0.41106821106821106,0.35714285714285715,0.0,0.307
ORD_00012,REST_046,fast_food,small,2024-03-20 12:42:00,2024-03-20 12:55:24,2024-03-20 12:57:24,13.4,13.4,1,0.25,2.59,0,1,0,-120.0,0,12,2024-03-20,3.8333333333333335,0.0,2.0,0.29601029601029605,0.07142857142857142,0.0,0.147
ORD_00016,REST_027,cloud_kitchen,medium,2024-02-18 03:06:00,2024-02-18 03:28:24,2024-02-18 03:31:24,23.4,22.4,1,0.05,1.12,0,0,0,-180.0,0,3,2024-02-18,3.633333333333334,0.0,1.6666666666666667,0.28056628056628063,0.05952380952380953,0.0,0.136
ORD_00019,REST_029,cloud_kitchen,large,2024-05-20 03:03:00,2024-05-20 03:37:54,2024-05-20 03:34:54,34.9,34.9,13,0.65,6.64,0,0,0,180.0,0,3,2024-05-20,6.21,0.0,10.333333333333334,0.47953667953667956,0.36904761904761907,0.0,0.339
ORD_00021,REST_025,cloud_kitchen,small,2024-03-08 14:18:00,2024-03-08 14:44:48,2024-03-08 14:46:48,26.8,26.8,2,0.3,0.52,0,1,0,-120.0,0,14,2024-03-08,1.9666666666666675,0.0,1.3333333333333333,0.15186615186615193,0.047619047619047616,0.0,0.08
ORD_00022,REST_013,cloud_kitchen,large,2024-03-16 06:03:00,2024-03-16 06:27:42,2024-03-16 06:25:42,25.7,24.7,7,0.35,5.43,0,0,0,120.0,0,6,2024-03-16,6.026666666666666,0.0,8.666666666666666,0.4653796653796654,0.3095238095238095,0.0,0.31
ORD_00025,REST_037,fast_food,large,2024-03-04 18:38:00,2024-03-04 19:02:00,2024-03-04 19:05:00,23.0,24.0,10,0.5,6.22,1,0,0,-180.0,0,18,2024-03-04,6.226666666666667,0.6666666666666666,11.333333333333334,0.4808236808236808,0.40476190476190477,0.6666666666666666,0.488
ORD_00027,REST_020,fast_food,large,2024-04-27 10:59:00,2024-04-27 11:21:30,2024-04-27 11:23:30,23.5,22.5,7,0.35,3.59,0,0,0,-120.0,0,10,2024-04-27,3.323333333333333,0.0,7.0,0.2566280566280566,0.25,0.0,0.203
